rank;config_id;strategy_name;total_trades;win_rate;avg_pnl;total_pnl;profit_factor;max_drawdown;sharpe_ratio;avg_hold_time;filtered_out;best_trade;worst_trade;execution_time;buffer_hours_after;buffer_hours_before;cross_lookback_periods;long_enter_zone_mid_tf;long_exit_zone;long_extreme_exit;max_hold_hours;rsi_extreme_threshold;secondary_timeframes;short_enter_zone_mid_tf;short_exit_zone;short_extreme_exit;sma_change_periods;sma_change_threshold;stop_loss;strategy_name;take_profit;tf_multiplier_15m;tf_multiplier_1h;tf_multiplier_30m;trailing_stop_activation;trailing_stop_distance;use_trailing_stop
31;genetic_balanced_0221;genetic_gen2_cross_21;48;45.83;1.1714;56.23;2.86;8.4;0.394;7.99;2812;8.72;-1.2;1380.777;200;160;10;37;70;78;16;10;['30m'];63;30;25;3;0.3;0.012;genetic_gen2_cross_21;0.025;3;8;4;0.01;0.005;False
32;genetic_balanced_0198;genetic_gen1_cross_98;66;50.0;1.1693;77.18;2.34;10.8;0.335;9.33;2794;13.06;-1.8;1473.793;280;140;15;43;72;80;24;15;['30m'];67;40;22;5;0.8;0.018;genetic_gen1_cross_98;0.035;2;16;6;0.01;0.005;False
33;genetic_balanced_0482;genetic_gen4_cross_82;44;68.18;1.1644;51.23;3.54;6.28;0.534;7.07;2816;6.49;-1.5;1853.992;200;160;15;37;68;88;24;15;['15m', '1h'];57;30;22;6;0.3;0.015;genetic_gen4_cross_82;0.05;4;8;4;0.01;0.012;False
34;genetic_balanced_0279;genetic_gen2_cross_79;98;55.1;1.157;113.38;2.25;22.93;0.328;10.08;2762;13.06;-2.5;1426.356;200;140;6;43;72;75;16;20;['30m'];57;30;15;7;0.6;0.025;genetic_gen2_cross_79;0.03;3;16;6;0.008;0.005;False
35;genetic_balanced_0065;genetic_gen0_65;43;74.42;1.148;49.36;4.9;4.8;0.659;3.18;2817;6.68;-1.2;1845.968;200;120;15;35;65;75;8;18;['15m', '1h'];63;38;18;8;0.3;0.012;genetic_gen0_65;0.03;3;16;6;0.012;0.005;False
36;genetic_balanced_0222;genetic_gen2_cross_22;57;57.89;1.147;65.38;3.27;8.24;0.468;6.14;2803;6.95;-1.2;1577.214;280;160;15;43;70;80;16;18;['15m'];63;30;22;9;0.6;0.012;genetic_gen2_cross_22;0.03;2;8;6;0.01;0.008;False
37;genetic_balanced_0447;genetic_gen4_cross_47;48;64.58;1.1454;54.98;3.7;4.8;0.534;5.36;2812;6.48;-1.2;1633.826;180;100;6;50;68;82;24;20;['15m', '1h'];60;35;20;8;0.3;0.012;genetic_gen4_cross_47;0.03;2;16;6;0.008;0.01;False
38;genetic_balanced_0007;genetic_gen0_7;64;75.0;1.142;73.09;4.99;6.0;0.635;3.99;2796;6.49;-1.5;2029.485;180;120;12;40;55;75;12;12;['15m', '30m'];57;28;22;5;0.4;0.015;genetic_gen0_7;0.025;4;12;6;0.01;0.008;False
39;genetic_balanced_0107;genetic_gen0_7;64;75.0;1.142;73.09;4.99;6.0;0.635;3.99;2796;6.49;-1.5;2041.046;180;120;12;40;55;75;12;12;['15m', '30m'];57;28;22;5;0.4;0.015;genetic_gen0_7;0.025;4;12;6;0.01;0.008;False
40;genetic_balanced_0307;genetic_gen0_7;64;75.0;1.142;73.09;4.99;6.0;0.635;3.99;2796;6.49;-1.5;1880.542;180;120;12;40;55;75;12;12;['15m', '30m'];57;28;22;5;0.4;0.015;genetic_gen0_7;0.025;4;12;6;0.01;0.008;False
