pair;direction;rsi;signal_time;entry_time_str;exit_time_str;entry_price;exit_price;pnl_percent;hold_time;dynamic_sl;status;exit_reason;filter_info;filtered_out;;;;;
BTCUSDT;Short;56.82042119142333;10.08.2025 23:10;10.08.2025 23:10;0;118944.6;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;60.03505478180538;11.08.2025 0:00;11.08.2025 0:00;0;119194.3;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;79.37588743441549;11.08.2025 3:00;11.08.2025 3:00;0;121748.0;0;0;0;0;Filtered;Filtered;Secondary TF Filter: Recent bull cross at RSI_SMA=65.69;1;;;;;
BTCUSDT;Long;42.63244196570564;11.08.2025 9:40;11.08.2025 9:40;0;121422.9;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;41.256550827499055;11.08.2025 10:10;11.08.2025 10:10;0;121293.7;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;42.32481986060689;11.08.2025 10:55;11.08.2025 10:55;0;121176.0;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;34.97212233395601;11.08.2025 11:40;11.08.2025 11:40;0;120675.6;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;35.65518161166359;11.08.2025 11:55;11.08.2025 11:55;0;120546.6;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;32.4874488563071;11.08.2025 12:30;11.08.2025 12:30;0;120229.5;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;27.679127369368047;11.08.2025 13:05;11.08.2025 13:05;0;119619.5;0;0;0;0;Filtered;Filtered;Secondary TF Filter: Recent bear cross at RSI_SMA=73.82;1;;;;;
BTCUSDT;Long;38.5777405755015;11.08.2025 18:10;11.08.2025 18:10;0;119502.3;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;35.35293402043585;11.08.2025 20:20;11.08.2025 20:20;0;118787.8;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;47.14779719396548;12.08.2025 10:20;12.08.2025 10:20;0;118559.7;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;61.03512082390908;12.08.2025 15:40;12.08.2025 15:40;0;119677.3;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;63.59077633064037;12.08.2025 16:05;12.08.2025 16:05;0;119892.2;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;37.703578652431;13.08.2025 1:50;13.08.2025 1:50;0;119490.3;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;34.08688900989928;13.08.2025 2:25;13.08.2025 2:25;0;119273.2;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;66.58582233897492;13.08.2025 9:15;13.08.2025 9:15;0;120045.8;0;0;0;0;Filtered;Filtered;Secondary TF Filter: Recent bull cross at RSI_SMA=56.89;1;;;;;
BTCUSDT;Short;65.5312878033338;13.08.2025 11:15;13.08.2025 11:15;0;120506.1;0;0;0;0;Filtered;Filtered;Secondary TF Filter: Recent bull cross at RSI_SMA=56.89;1;;;;;
BTCUSDT;Short;59.74517746213789;13.08.2025 14:20;13.08.2025 14:20;0;121519.2;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;60.20254829871105;13.08.2025 20:00;13.08.2025 20:00;0;122457.4;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
